year,round,event_name,circuit_id,circuit_ref,altitude_m,length_m,corners_count,rotation,avg_track_temp,avg_air_temp,avg_humidity
2022,1,Bahrain Grand Prix,2,bahrain,7.0,5200.0,15,92.0,25.4,19.4,55.6
2022,2,Saudi Arabian Grand Prix,74,jeddah,15.0,5773.0,27,104.0,25.4,23.5,58.7
2022,3,Australian Grand Prix,0,albert_park,10.0,4993.0,14,44.0,29.2,23.2,57.7
2022,4,Emilia Romagna Grand Prix,20,imola,37.0,5012.0,19,0.0,14.3,12.4,86.4
2022,5,Miami Grand Prix,76,miami,0.0,5445.0,19,2.0,51.2,33.2,39.4
2022,6,Spanish Grand Prix,3,catalunya,109.0,4551.0,16,303.0,47.2,34.7,18.8
2022,7,Monaco Grand Prix,5,monaco,7.0,3079.0,19,315.0,48.4,26.7,46.1
2022,8,Azerbaijan Grand Prix,71,baku,-7.0,5204.0,20,357.0,35.2,24.8,68.2
2022,9,Canadian Grand Prix,6,villeneuve,13.0,4054.0,14,62.0,18.1,13.5,76.3
2022,10,British Grand Prix,8,silverstone,153.0,5965.0,18,92.0,20.9,14.9,86.3
2022,11,Austrian Grand Prix,69,red_bull_ring,678.0,4139.0,10,1.0,35.9,19.0,34.4
2022,12,French Grand Prix,33,ricard,432.0,5518.0,15,0.0,54.8,30.5,45.2
2022,13,Hungarian Grand Prix,10,hungaroring,264.0,4243.0,16,40.0,29.8,22.2,71.1
2022,14,Belgian Grand Prix,12,spa,401.0,7066.0,19,91.0,20.7,15.2,84.8
2022,15,Dutch Grand Prix,38,zandvoort,6.0,3899.0,14,0.0,39.1,26.9,30.3
2022,16,Italian Grand Prix,13,monza,162.0,5451.0,11,95.0,40.3,27.6,34.7
2022,17,Singapore Grand Prix,14,marina_bay,18.0,5063.0,0,0.0,,,
2022,18,Japanese Grand Prix,21,suzuka,45.0,5807.0,0,0.0,,,
2022,19,United States Grand Prix,68,americas,161.0,5513.0,0,0.0,,,
2022,20,Mexico City Grand Prix,31,rodriguez,2227.0,4304.0,0,0.0,,,
2022,21,São Paulo Grand Prix,17,interlagos,785.0,4309.0,0,0.0,,,
2022,22,Abu Dhabi Grand Prix,23,yas_marina,3.0,5281.0,0,0.0,,,
