target_year,k,eval_round,n_train,n_eval,auroc,loss,bce,orth,cos_global
2022,1,2,7120,20,0.9019607843137254,0.668337881565094,0.6509646773338318,0.017373209819197655,0.003681857604533434
2022,2,3,7140,20,0.7450980392156862,0.785621166229248,0.7711517810821533,0.014469378627836704,0.003621381474658847
2022,3,4,7160,20,0.8235294117647058,0.7416967153549194,0.7398791909217834,0.0018175089498981833,0.0010488542029634118
2022,4,5,7180,20,0.9411764705882353,0.6563073396682739,0.6528535485267639,0.0034537706524133682,0.0018451910000294447
2022,5,6,7200,20,0.7254901960784312,0.8031546473503113,0.7824500799179077,0.020704546943306923,0.0040021114982664585
2022,6,7,7220,20,0.7647058823529411,0.7730773091316223,0.760129451751709,0.012947865761816502,0.0036962046287953854
2022,7,8,7240,20,0.784313725490196,0.8717945218086243,0.7725619077682495,0.09923259168863297,0.008800376206636429
2022,8,9,7260,20,0.9215686274509803,0.6244351267814636,0.5985497236251831,0.02588541805744171,0.005123940762132406
2022,9,10,7280,20,0.9019607843137254,0.6230313181877136,0.607958197593689,0.015073106624186039,0.003756549209356308
2022,10,11,7300,20,1.0,0.4785225987434387,0.4668866693973541,0.011635931208729744,0.0024877937976270914
2022,11,12,7320,20,0.9411764705882353,0.5762118697166443,0.5697083473205566,0.006503497716039419,0.002024266868829727
2022,12,13,7340,20,0.9215686274509803,0.5505102872848511,0.5477315187454224,0.002778751077130437,0.0013967733830213547
2022,13,14,7360,20,0.784313725490196,0.7389318346977234,0.7100171446800232,0.028914663940668106,0.005046675447374582
2022,14,15,7380,20,0.9215686274509803,0.6285715699195862,0.6238393783569336,0.004732166416943073,0.0020138921681791544
2022,15,16,7400,20,0.8627450980392156,0.6723750233650208,0.6400410532951355,0.03233399614691734,0.0049575259909033775
2022,16,17,7420,20,0.8627450980392156,0.6824856400489807,0.6743046045303345,0.008181040175259113,0.00183706427924335
2022,17,18,7440,20,0.9019607843137254,0.6218145489692688,0.5976690053939819,0.024145564064383507,0.004969979636371136
2022,18,19,7460,20,1.0,0.4780925512313843,0.4721985459327698,0.005894005298614502,0.0014564493903890252
2022,19,20,7480,20,0.9019607843137254,0.5779825448989868,0.5577993392944336,0.02018318697810173,0.003909145947545767
2022,20,21,7500,20,0.9019607843137254,0.6145910620689392,0.6108272075653076,0.003763830056414008,0.001655872561968863
2022,21,22,7520,20,0.9019607843137254,0.6636221408843994,0.6148725152015686,0.048749614506959915,0.0062318360432982445
