driverId,driver_name,races,mean_prediction_prob_top3,mean_driver_importance,mean_constructor_importance
0,Lewis Hamilton,22,0.52605075,0.48933114439626824,0.510668855603411
3,Fernando Alonso,22,0.18213458,0.8075600249838146,0.19243997501567964
7,Kimi Räikkönen,20,0.0405153,0.4541188023867992,0.5458811976128868
8,Robert Kubica,2,0.008912829,0.1257758747446211,0.8742241252548959
19,Sebastian Vettel,22,0.2604534,0.795959947126682,0.2040400528729675
452,Pierre Gasly,22,0.0104977805,0.284311804007732,0.715688195991703
814,Sergio Pérez,22,0.32544228,0.15041474492081325,0.8495852550787544
816,Daniel Ricciardo,22,0.29837495,0.3272178172245042,0.6727821827750335
821,Valtteri Bottas,22,0.48771694,0.35383728626905814,0.646162713730608
829,Max Verstappen,22,0.45926186,0.40503150043777775,0.5949684995618719
831,Carlos Sainz,22,0.2833571,0.16163943105866782,0.8383605689409859
838,Esteban Ocon,22,0.020866107,0.6129508361671377,0.38704916383197924
839,Lance Stroll,22,0.01237194,0.5587152116061257,0.4412847883932666
840,Antonio Giovinazzi,22,0.0019889646,0.4759899653477247,0.5240100346519853
842,Charles Leclerc,22,0.45366123,0.27815699379554265,0.7218430062041183
844,Lando Norris,22,0.2883984,0.3274531918599052,0.6725468081396279
845,George Russell,22,0.019967021,0.5490434641475453,0.4509565358515408
847,Nicholas Latifi,22,0.0072417096,0.7521594610465674,0.24784053895295816
850,Yuki Tsunoda,22,0.005885296,0.4426129485648767,0.5573870514346817
851,Nikita Mazepin,22,0.001251666,0.5145318945133727,0.48546810548637664
852,Mick Schumacher,22,0.003610532,0.372582738763983,0.6274172612356822
