p_S,skill_pct_threshold,bradley_terry_n,bradley_terry_resolution,bradley_terry_auroc,bradley_terry_partial_rho,orthogonal_shapley_n,orthogonal_shapley_resolution,orthogonal_shapley_auroc,orthogonal_shapley_partial_rho
0.25,0.7,147,0.673469387755102,0.6327861952861953,0.18903792752265416,147,0.673469387755102,0.6696127946127945,0.23928113506473708
0.25,0.75,122,0.6885245901639344,0.6719924812030076,0.22158112531204457,122,0.6885245901639344,0.6663533834586466,0.24811215624560148
0.25,0.8,94,0.7553191489361702,0.6331904470300062,0.13420997096718665,94,0.7553191489361702,0.6638089406001224,0.21195497369730976
0.3,0.7,121,0.6776859504132231,0.58223889931207,0.12933192909267227,121,0.6776859504132231,0.6288305190744214,0.24586001445172673
0.3,0.75,100,0.68,0.5988051470588235,0.141227435692011,100,0.68,0.6167279411764706,0.24900032074671635
0.3,0.8,77,0.7532467532467533,0.5607985480943738,0.07290100592371451,77,0.7532467532467533,0.6279491833030852,0.22818704601631382
0.35,0.7,102,0.7058823529411765,0.6004629629629629,0.11793624707348967,102,0.7058823529411765,0.6027777777777779,0.19426817881015623
0.35,0.75,86,0.7093023255813954,0.6268852459016393,0.14888403982251522,86,0.7093023255813954,0.5803278688524589,0.18839579419144814
0.35,0.8,65,0.7846153846153846,0.5546218487394957,0.05128718556893844,65,0.7846153846153846,0.5546218487394958,0.14336649556722558
