driver_name,team_name,impact_driver,impact_team,raw_logit_driver,raw_logit_team,target,impact_ratio_d_vs_t
alonso,aston_martin,0.7162314057350159,0.4100535213947296,-0.7162314057350159,0.4100535213947296,0.5,1.7466778563414662
ricciardo,alphatauri,0.705841064453125,0.4156138002872467,-0.705841064453125,0.4156138002872467,0.0,1.6983099790365264
hulkenberg,haas,0.6789324283599854,0.7258210182189941,-0.6789324283599854,0.7258210182189941,0.0,0.9353992393688693
max_verstappen,red_bull,0.6754270792007446,0.32238492369651794,-0.6754270792007446,0.32238492369651794,1.0,2.095095116285799
russell,mercedes,0.6702619194984436,0.18454590439796448,-0.6702619194984436,0.18454590439796448,0.08333333333333333,3.6319522868036973
leclerc,ferrari,0.6566238403320312,0.5507282018661499,-0.6566238403320312,0.5507282018661499,0.25,1.1922829412168336
hamilton,mercedes,0.6477785706520081,0.18454590439796448,-0.6477785706520081,0.18454590439796448,0.3333333333333333,3.510121629440794
norris,mclaren,0.6306136250495911,0.12011942267417908,-0.6306136250495911,0.12011942267417908,0.16666666666666666,5.249888910639495
albon,williams,0.5837580561637878,0.1063363254070282,-0.5837580561637878,0.1063363254070282,0.0,5.489733201982593
sainz,ferrari,0.5700598955154419,0.5507282018661499,-0.5700598955154419,0.5507282018661499,0.0,1.0351020586630324
gasly,alpine,0.5681310892105103,0.3422558009624481,-0.5681310892105103,0.3422558009624481,0.0,1.6599604378154715
piastri,mclaren,0.5568311214447021,0.12011942267417908,-0.5568311214447021,0.12011942267417908,0.0,4.635646001688608
stroll,aston_martin,0.5289311408996582,0.4100535213947296,-0.5289311408996582,0.4100535213947296,0.0,1.289907568896338
kevin_magnussen,haas,0.5238340497016907,0.7258210182189941,-0.5238340497016907,0.7258210182189941,0.0,0.7217124284814247
perez,red_bull,0.4369204640388489,0.32238492369651794,-0.4369204640388489,0.32238492369651794,0.5833333333333334,1.3552757338309986
de_vries,alphatauri,0.4301036298274994,0.4156138002872467,-0.4301036298274994,0.4156138002872467,0.0,1.0348636872265506
tsunoda,alphatauri,0.4106079339981079,0.4156138002872467,-0.4106079339981079,0.4156138002872467,0.0,0.9879554858725118
bottas,alfa,0.39573588967323303,0.5145766735076904,-0.39573588967323303,0.5145766735076904,0.0,0.7690513582274123
ocon,alpine,0.3882182836532593,0.3422558009624481,-0.3882182836532593,0.3422558009624481,0.08333333333333333,1.1342927791481148
zhou,alfa,0.36325564980506897,0.5145766735076904,-0.36325564980506897,0.5145766735076904,0.0,0.7059310468328877
sargeant,williams,0.2900432348251343,0.1063363254070282,-0.2900432348251343,0.1063363254070282,0.0,2.727602573390825
