driverId,driver_name,races,mean_prediction_prob_top3,mean_driver_importance,mean_constructor_importance,mean_driver_signed,mean_constructor_signed,mean_driver_delta_prob,mean_constructor_delta_prob
0,Lewis Hamilton,22,0.52605075,0.48933110883642145,0.5106688911632576,1.5039224631025392,1.517523113357951,0.3268694832337203,0.32927841450619105
3,Fernando Alonso,22,0.18213464,0.8075601097639103,0.19243989023558397,1.5402100030419916,-0.15692255347171383,0.13396679848193804,-0.02329557759885117
7,Kimi Räikkönen,20,0.04051528,0.45411874163938776,0.5458812583602982,1.3968452494300014,-1.666583947806623,0.029937192692721614,-0.13976434524194212
8,Robert Kubica,2,0.008912823,0.12577593999126052,0.8742240600082565,0.008746792602339348,-1.7321663282275561,9.635738024393534e-05,-0.04221068103967479
19,Sebastian Vettel,22,0.26045325,0.7959598648784666,0.2040401351211831,2.239444170318857,-0.32297955762276315,0.23230773901420312,-0.0669870003869638
452,Pierre Gasly,22,0.010497785,0.2843119629413756,0.7156880370580594,-0.41407101917790234,-1.1930091167244634,-0.0053889905263036116,-0.023767795107699028
814,Sergio Pérez,22,0.3254422,0.15041472199934922,0.8495852780002185,0.26923512342875117,1.91737606006363,0.05660393940014283,0.26000961193628186
816,Daniel Ricciardo,22,0.29837483,0.3272177629748599,0.6727822370246779,0.6583765623428358,1.3938557003261314,0.1177302568132498,0.20239524373638632
821,Valtteri Bottas,22,0.48771694,0.3538372732834103,0.6461627267162559,1.0084463534123451,1.8412432403216363,0.228398410978345,0.35380501124541236
829,Max Verstappen,22,0.45926192,0.4050315728816933,0.5949684271179565,1.0445951082724152,1.657465475971675,0.2252439200234383,0.31323756874991554
831,Carlos Sainz,22,0.28335705,0.16163941513431662,0.8383605848653372,-0.38664498418987364,2.3711865945282558,-0.08333408195887643,0.2483099435210681
838,Esteban Ocon,22,0.020866107,0.6129508766414824,0.38704912335763453,-0.667332862460261,-0.24172681144394323,-0.01934313565177429,-0.005495356447473341
839,Lance Stroll,22,0.01237194,0.5587150561932807,0.44128494380611155,-0.905579465030677,-0.506346048223809,-0.018606904179743415,-0.008301767575387472
840,Antonio Giovinazzi,22,0.0019889667,0.47598992540712354,0.5240100745925864,-1.5441010411206144,-1.7291774585718434,-0.007468888366404191,-0.009396777962325735
842,Charles Leclerc,22,0.45366108,0.27815698733506883,0.7218430126645923,0.6813365946142748,2.091753049387205,0.15907517909439017,0.3675933350562807
844,Lando Norris,22,0.28839847,0.3274533173996168,0.6725466825999162,0.6130574735795998,1.3794545885099754,0.10770766532319681,0.19406425705337566
845,George Russell,22,0.019967005,0.549043330204452,0.45095666979463406,-0.5363188717860582,-0.46102515123745375,-0.013345808484586281,-0.010959108047487927
847,Nicholas Latifi,22,0.0072417054,0.7521593343451982,0.24784066565432752,-1.5223811801377352,-0.48695046746427356,-0.025098847161942314,-0.004364055062488763
850,Yuki Tsunoda,22,0.005885296,0.44261300738681175,0.5573869926127467,-0.9706251138184019,-1.1936251663331934,-0.009955227018692074,-0.013883672480272795
851,Nikita Mazepin,22,0.0012516654,0.5145319063642076,0.4854680936355418,-1.9671069972811746,-1.796277048828724,-0.007673487408885576,-0.006259099716121468
852,Mick Schumacher,22,0.0036105334,0.3725827891390544,0.6274172108606106,-0.9286168995058289,-1.7397037846952534,-0.005684516389409992,-0.017177116959444814
