constructorId,constructor_name,races,mean_prediction_prob_top3,mean_driver_importance,mean_constructor_importance,mean_driver_signed,mean_constructor_signed,mean_driver_delta_prob,mean_constructor_delta_prob
0,McLaren,44,0.29338667,0.3273355401872383,0.6726644598122969,0.6357170179612178,1.3866551444180535,0.11271896106822331,0.19822975039488097
2,Williams,44,0.013604355,0.6506013322748251,0.3493986677244808,-1.0293500259618966,-0.47398780935086365,-0.019222327823264298,-0.007661581554988345
5,Ferrari,44,0.36850908,0.21989820123469273,0.7801017987649647,0.14734580521220056,2.2314698219577305,0.03787054856775687,0.3079516392886744
8,Red Bull,44,0.39235207,0.27772314744052123,0.7222768525590875,0.6569151158505832,1.7874207680176524,0.14092392971179055,0.2866235903430987
49,Alfa Romeo,44,0.019815648,0.450129660721068,0.5498703392786223,-0.13672328024656377,-1.7008617204810934,0.00987775055804609,-0.07014630413839451
115,Aston Martin,44,0.1364126,0.6773374605358735,0.3226625394636473,0.66693235264409,-0.4146628029232861,0.10685041741722986,-0.03764438398117564
129,Mercedes,44,0.50688386,0.42158419105991596,0.5784158089397567,1.2561844082574423,1.6793831768397938,0.2776339471060326,0.3415417128758017
207,Haas F1 Team,44,0.0024310993,0.443557347751631,0.5564426522480762,-1.4478619483935018,-1.7679904167619889,-0.006679001899147784,-0.01171810833778314
209,AlphaTauri,44,0.008191541,0.3634624851640937,0.636537514835403,-0.6923480664981522,-1.1933171415288284,-0.007672108772497843,-0.018825733793985912
210,Alpine F1 Team,44,0.101500385,0.7102554932026963,0.2897445067966093,0.43643857029086525,-0.19932468245782856,0.057311831415081865,-0.014395467023162255
