model,model_level,lambda_orthogonal,driver_ref,driverId,old_constructor_ref,new_constructor_ref,old_season,new_season,round,raceId,actual,pred_new,pred_old,delta,old_tier,new_tier,tier_dir
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,21,431,9.0,5.894255638122559,4.691451072692871,1.2028045654296875,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,21,431,1.0,3.110008478164673,3.3107006549835205,-0.20069217681884766,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,22,432,15.0,6.053606033325195,4.850801944732666,1.2028040885925293,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,22,432,5.0,4.187263488769531,4.79484224319458,-0.6075787544250488,B,S,2.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,1,433,15.0,5.410621643066406,5.236431121826172,0.17419052124023438,A,B,-1.0
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,1,433,14.0,7.84095573425293,7.687832355499268,0.1531233787536621,B,B,0.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,1,433,3.0,2.9151737689971924,3.656879425048828,-0.7417056560516357,A,A,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,1,433,9.0,7.722395896911621,6.42275857925415,1.2996373176574707,B,A,1.0
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,2,434,14.0,7.631608009338379,7.4811015129089355,0.15050649642944336,B,B,0.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,2,434,12.0,5.566216468811035,5.392025470733643,0.17419099807739258,A,B,-1.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,2,434,9.0,5.553840160369873,4.317894458770752,1.235945701599121,B,A,1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,2,434,3.0,2.2345879077911377,2.92602801322937,-0.6914401054382324,A,A,0.0
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,3,435,15.0,7.00356388092041,6.8609113693237305,0.1426525115966797,B,B,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,3,435,13.0,5.326627731323242,4.151171684265137,1.1754560470581055,B,A,1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,3,435,3.0,2.5951859951019287,3.32830548286438,-0.7331194877624512,A,A,0.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,3,435,7.0,5.410621643066406,5.236431121826172,0.17419052124023438,A,B,-1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,4,436,17.0,5.948502540588379,5.8061981201171875,0.1423044204711914,A,B,-1.0
